Show Number, Air Date, Round, Category, Value, Question, Answer
5026,2006-06-19,Jeopardy!,"THE ROLLING STONES","$400","""The Glimmer Twins"" are these 2 sexagenarians","Keith Richards & Mick Jagger"
5026,2006-06-19,Jeopardy!,"BEAST OF BURDEN","$600","On Grand Teton's trails, horses get right of way versus these S. Amer. pack animals of the family Camelidae","llamas"
5026,2006-06-19,Jeopardy!,"PAINT IT BLACK","$600","The Black Hills are an isolated, eroded mountain region in the western part of this state","South Dakota"
5026,2006-06-19,Jeopardy!,"TIME IS ON MY SIDE","$600","The reign of 5 rulers of Monaco exceeded 50 years; 3 were named Honore & 2 were named this","Rainier"
5026,2006-06-19,Jeopardy!,"HARLEM SHUFFLE","$1,600","In 1954 he took over as minister of the Nation of Islam's Temple Number 7 in Harlem","Malcolm X"
5026,2006-06-19,Jeopardy!,"START ME ""UP""","$600","2 lines of rhyming verse at the end of a Shakespearean sonnet","a couplet"
5026,2006-06-19,Jeopardy!,"THE ROLLING STONES","$600","The oldest of the original Stones still with the group, this drummer was born June 2, 1941","Charlie Watts"
5026,2006-06-19,Jeopardy!,"BEAST OF BURDEN","$800","As opposed to the dromedary, this type of camel named for an ancient Asian region has 2 humps","Bactrian"
5026,2006-06-19,Jeopardy!,"PAINT IT BLACK","$800","Edward, the son of Edward III of England, was known by this dark sobriquet","the Black Prince"
5026,2006-06-19,Jeopardy!,"TIME IS ON MY SIDE","$800","In 1840 this king, the third in the dynasty, had enough time in his 29-year reign to give Hawaii its first constitution","King Kamehameha"
5026,2006-06-19,Jeopardy!,"HARLEM SHUFFLE","$800","Duke Ellington could have told you that this MTA transport passes through Harlem before terminating at 207th St.","the A Train"
5026,2006-06-19,Jeopardy!,"START ME ""UP""","$800","Garden favorite seen <a href=""http://www.j-archive.com/media/2006-06-19_J_23.jpg"" target=""_blank"">here</a>","a buttercup"
5026,2006-06-19,Jeopardy!,"THE ROLLING STONES","$800","The Rolling Stones album ""Sticky Fingers"" featured a working zipper on its cover designed by this artist","Andy Warhol"
5026,2006-06-19,Jeopardy!,"BEAST OF BURDEN","$1000","Seen <a href=""http://www.j-archive.com/media/2006-06-19_J_15.jpg"" target=""_blank"">here</a>, zebus are often referred to as this type of cattle that sounds like an Indian caste","brahmans"
5026,2006-06-19,Jeopardy!,"PAINT IT BLACK","$1000","This river forms the southern & western borders of Germany's Black Forest region","the Rhine"
5026,2006-06-19,Jeopardy!,"TIME IS ON MY SIDE","$1000","This country's King Rama IX, who belongs to the Chakri Dynasty that includes King Mongkut, has reigned 59 years","Thailand"
5026,2006-06-19,Jeopardy!,"HARLEM SHUFFLE","$1000","The regalia of <a href=""http://www.j-archive.com/media/2006-06-19_J_10.jpg"" target=""_blank"">this</a> great dancer known as ""Bojangles"" includes a badge as honorary Mayor of Harlem","Bill ""Bojangles"" Robinson"
5026,2006-06-19,Jeopardy!,"START ME ""UP""","$1000","Plural word that's a synonym for a wedding ceremony","nuptials"
5026,2006-06-19,Jeopardy!,"THE ROLLING STONES","$1000","""Please allow me to introduce myself"" is the opening line of this Stones song","""Sympathy For The Devil"""
5026,2006-06-19,Double Jeopardy!,"NOVELS","$400","About this book, Robert Louis Stevenson said, ""If this don't fetch the kids, why, they have gone rotten since my day""","Treasure Island"
5026,2006-06-19,Double Jeopardy!,"MOVIES THAT ARE ALL WET","$400","Steven Spielberg named the mechanical shark in this 1975 classic ""Bruce"" after his lawyer","Jaws"
5026,2006-06-19,Double Jeopardy!,"EUROPEAN BODIES OF WATER","$400","In this country, to get from Harlingen to Oost Vlieland, you've to cross the Waddenzee","Holland (or the Netherlands)"
5026,2006-06-19,Double Jeopardy!,"WALLY WORLD","$400","The Army's largest health-care facility is the D.C. medical center named for this man","Walter Reed"
5026,2006-06-19,Double Jeopardy!,"IT'S A SECRET!","$400","NSA, the USA's largest intelligence agency, stands for this, though some say it's for ""No Such Agency""","the National Security Agency"
5026,2006-06-19,Double Jeopardy!,"""SH""!!","$400","Peter Pan lost his, but Wendy sewed it back on","his shadow"
5026,2006-06-19,Double Jeopardy!,"NOVELS","$800","In this 1987 Tom Wolfe novel, investment banker Sherman McCoy is almost fed to the wolves of the South Bronx","The Bonfire of the Vanities"
5026,2006-06-19,Double Jeopardy!,"MOVIES THAT ARE ALL WET","$800","Commercial fisherman George Clooney faces disaster in the North Atlantic in this fact-based 2000 film","The Perfect Storm"
5026,2006-06-19,Double Jeopardy!,"EUROPEAN BODIES OF WATER","$800","This strait off Sicily links the Tyrrhenian & Ionian Seas","the Strait of Messina"
5026,2006-06-19,Double Jeopardy!,"WALLY WORLD","$800","In 1616 he was released from the Tower of London to lead a new expedition in search of gold","Walter Raleigh"
5026,2006-06-19,Double Jeopardy!,"IT'S A SECRET!","$800","The ill-fated ""New"" version of this brand replaced the secret formula 7X with 7X-100","Coke"
5026,2006-06-19,Double Jeopardy!,"""SH""!!","$800","Mole relative that might need taming","a shrew"
5026,2006-06-19,Double Jeopardy!,"NOVELS","$1200","This Leon Uris novel shares its name with a biblical book","Exodus"
5026,2006-06-19,Double Jeopardy!,"MOVIES THAT ARE ALL WET","$1200","The overinflated budget of this moist 1995 film earned it the nickname ""Kevin's Gate""","Waterworld"
5026,2006-06-19,Double Jeopardy!,"EUROPEAN BODIES OF WATER","$4,000","The Gironde, an estuary formed by a river confluence near Bordeaux, extends to this bay","the Bay of Biscay"
5026,2006-06-19,Double Jeopardy!,"WALLY WORLD","$1200","He's the only one of the original 7 astronauts to fly in the Mercury, Gemini & Apollo space programs","Wally Schirra"
5026,2006-06-19,Double Jeopardy!,"IT'S A SECRET!","$1200","To keep secret this conqueror's 1227 burial site, funeral attendees were killed by soldiers who were then killed","Genghis Khan"
5026,2006-06-19,Double Jeopardy!,"""SH""!!","$1200","James Hilton's high mountain valley","Shangri-La"
5026,2006-06-19,Double Jeopardy!,"NOVELS","$1600","This title foundling's foster father, Squire Allworthy, is later revealed to be his uncle","Tom Jones"
5026,2006-06-19,Double Jeopardy!,"MOVIES THAT ARE ALL WET","$1600","Jon Voight & Burt Reynolds head to Appalachia for a canoe trip that goes horribly wrong in this 1972 flick","Deliverance"
5026,2006-06-19,Double Jeopardy!,"EUROPEAN BODIES OF WATER","$1600","(<a href=""http://www.j-archive.com/media/2006-06-19_DJ_14.jpg"" target=""_blank"">Kelly of the Clue Crew reads from the water's edge in a city in Latvia.</a>)  A Baltic cruise takes you into this gulf to visit the largest & most cosmopolitan city in the 3 Baltic states","the Gulf of Riga"
5026,2006-06-19,Double Jeopardy!,"WALLY WORLD","$1600","He was an Angel, Royal, Padre, Brave & Angel again before he called it quits in 2001","Wally Joyner"
5026,2006-06-19,Double Jeopardy!,"IT'S A SECRET!","$1600","Khrushchev's 1956 speech condemning this leader wasn't published in full in the USSR until 1989","Stalin"
5026,2006-06-19,Double Jeopardy!,"""SH""!!","$3,000","This religion's name translates as ""the way of divine power""","Shinto"
5026,2006-06-19,Double Jeopardy!,"NOVELS","$2000","This novel is narrated by one-time journalist Jack Burden, who becomes an aide to politician Willie Stark","All the King's Men"
5026,2006-06-19,Double Jeopardy!,"MOVIES THAT ARE ALL WET","$2000","Meryl Streep & her son go not so gently down the stream in this 1994 rafting suspense movie","The River Wild"
5026,2006-06-19,Double Jeopardy!,"EUROPEAN BODIES OF WATER","$2000","The major cities on this 1,200-mile-long Russian river are Voronezh & Rostov-on-it","the Don"
5026,2006-06-19,Double Jeopardy!,"WALLY WORLD","$2000","In 1997 his debut novel ""She's Come Undone"" became a No. 1 bestseller","Wally Lamb"
5026,2006-06-19,Double Jeopardy!,"IT'S A SECRET!","$2000","Members of this ""troweling"" society swear to keep its secrets--or so we think, as the oath is secret","the Masons"
5026,2006-06-19,Double Jeopardy!,"""SH""!!","$2000","Versatile versemonger depicted <a href=""http://www.j-archive.com/media/2006-06-19_DJ_25.jpg"" target=""_blank"">here</a>","Shelley"
5026,2006-06-19,Final Jeopardy!,"WORD ORIGINS","None","From the name of a committee created by Gregory XV to spread the faith, it means info used to spread a belief","propaganda"
5642,2009-03-03,Jeopardy!,"JOHN J. PERSHING","$200","In 1886 Pershing graduated 30th out of 77 from this school","West Point"
5642,2009-03-03,Jeopardy!,"DAY PLANNERS OF THE STARS","$200","May 10, 1945: Divorce wife No. 3. May 21, 1945: Marry wife No. 4, Lauren Bacall, & call more people ""sweetheart""","Humphrey Bogart"
5642,2009-03-03,Jeopardy!,"YOU NEED TO CONVERT","$200","1,728 cubic inches equals this many cubic feet","1"
5642,2009-03-03,Jeopardy!,"FAB 5 FREDDY","$200","Fred Haise was one of the fortunate 3 astronauts to make it home from this April 1970 mission","Apollo 13"
5642,2009-03-03,Jeopardy!,"I NEED A FLAVOR","$200","This spice precedes ""ale"" in the name of a beverage & ""snap"" in the name of a cookie","ginger"
5642,2009-03-03,Jeopardy!,"IT'S NOT A CRIME!","$200","The proxime accessit isn't an accomplice, he's just the guy who finished in this place, like McCain in 2008","second"
5642,2009-03-03,Jeopardy!,"JOHN J. PERSHING","$400","On April 14, 1918 Pershing became the first American general to make use of these in combat","airplanes"
5642,2009-03-03,Jeopardy!,"DAY PLANNERS OF THE STARS","$400","1941: make final film, ""Two-Faced Woman"". Feb. 9, 1951: Become U.S. citizen. After that: Prefer alone time","(Greta) Garbo"
5642,2009-03-03,Jeopardy!,"YOU NEED TO CONVERT","$400","4 pecks equals 1 of these","a bushel"
5642,2009-03-03,Jeopardy!,"FAB 5 FREDDY","$400","In 1921 a team including Frederick Banting discovered this hormone produced by the pancreas","insulin"
5642,2009-03-03,Jeopardy!,"I NEED A FLAVOR","$400","The name of this spice used in Indian cooking comes from the Tamil for ""sauce""","curry"
5642,2009-03-03,Jeopardy!,"IT'S NOT A CRIME!","$400","If your friend tells you he's a paleophile, don't worry; he's just into stuff that's really this, like dinosaurs","old"
5642,2009-03-03,Jeopardy!,"JOHN J. PERSHING","$600","Pershing gained this rhyming nickname for commanding a unit of African-American soldiers","Black Jack"
5642,2009-03-03,Jeopardy!,"DAY PLANNERS OF THE STARS","$600","Dec. 21, 1937: daughter Jane is born. Feb. 23, 1940: Son Peter is born. Jan. 27, 1964: Granddaughter Bridget is born","Henry Fonda"
5642,2009-03-03,Jeopardy!,"YOU NEED TO CONVERT","$600","32 degrees Fahrenheit equals this many degrees Celsius","0"
5642,2009-03-03,Jeopardy!,"FAB 5 FREDDY","$600","The middle name of this public television legend was McFeely","Mister Rogers"
5642,2009-03-03,Jeopardy!,"I NEED A FLAVOR","$600","Allium sativum, its pungent odor was said to give strength; Egyptians fed it to the slaves who built the pyramids","garlic"
5642,2009-03-03,Jeopardy!,"IT'S NOT A CRIME!","$600","If you've committed saponification, you haven't been bad; you've made this stuff, like Ivory (& gotten off clean)","soap"
5642,2009-03-03,Jeopardy!,"JOHN J. PERSHING","$800","When Pershing arrived in France during WWI, he laid a wreath at the grave of this Frenchman","Lafayette"
5642,2009-03-03,Jeopardy!,"DAY PLANNERS OF THE STARS","$800","March 29, 1939: Marry Carole Lombard. On set: Remind self not to give damn","Clark Gable"
5642,2009-03-03,Jeopardy!,"YOU NEED TO CONVERT","$1,000","One eighth of a circle equals this many degrees","45"
5642,2009-03-03,Jeopardy!,"FAB 5 FREDDY","$800","In 1942 this composer met Alan Lerner; the next year, the 2 opened their first Broadway show","(Frederick) Loewe"
5642,2009-03-03,Jeopardy!,"I NEED A FLAVOR","$800","In Italy the stalk of the Neapolitan type of this garnishing herb is eaten like celery","parsley"
5642,2009-03-03,Jeopardy!,"IT'S NOT A CRIME!","$800","If you've got oenomania, you're not a crook; you're just crazy for this, like muscat or syrah","wine"
5642,2009-03-03,Jeopardy!,"JOHN J. PERSHING","$1000","During World War I, Pershing led this U.S. command, the AEF","the American Expeditionary Forces"
5642,2009-03-03,Jeopardy!,"DAY PLANNERS OF THE STARS","$1000","March 7, 1946: Win best actress for ""Mildred Pierce"". March 8: Rethink position on wire hangers","(Joan) Crawford"
5642,2009-03-03,Jeopardy!,"YOU NEED TO CONVERT","$1000","18 square feet equals this many square yards","2"
5642,2009-03-03,Jeopardy!,"FAB 5 FREDDY","$1000","Frederick Weyerhaeuser founded a company that now has 21 million acres of land harvested for this","timber"
5642,2009-03-03,Jeopardy!,"I NEED A FLAVOR","$1000","There are summer & winter varieties of this herb whose name means ""piquant"" or ""aromatic""","savory"
5642,2009-03-03,Jeopardy!,"IT'S NOT A CRIME!","$1000","If your neighbor's a lapicide, he's not a killer; he's just a guy who cuts this stuff for a living, maybe from a quarry","stones"
5642,2009-03-03,Double Jeopardy!,"THE AFRICAN PAST","$400","A 1968 drought was so bad that this geographic feature advanced 60 miles into the semiarid area called the Sahel","the Sahara Desert"
5642,2009-03-03,Double Jeopardy!,"MOVIE MISSING LINKS","$400","A Room With __ ___ To A Kill","A View"
5642,2009-03-03,Double Jeopardy!,"PROJECT RUNAWAY","$400","Nevada named its capital for this frontiersman who, at 16, ran away with traders who were bound for Santa Fe","Kit Carson"
5642,2009-03-03,Double Jeopardy!,"THE SECRET LIFE OF ""B""s","$400","2-word term for the demographic surge in the U.S. from 1946 to 1964","baby boom"
5642,2009-03-03,Double Jeopardy!,"CAPITAL","$400","Early settlers of this northeast state capital lived in Charlestown before moving to the Shawmut Peninsula","Boston"
5642,2009-03-03,Double Jeopardy!,"LETTERS","$400","The 1934 Indian Reorganization Act was passed after the Blackfoot sent a letter about injustices to this president","FDR"
5642,2009-03-03,Double Jeopardy!,"THE AFRICAN PAST","$800","(<a href=""http://www.j-archive.com/media/2009-03-03_DJ_11.jpg"" target=""_blank"">Sarah of the Clue Crew delivers a clue from the Newseum in Washington, D.C.</a>)  The Newseum in Washington has a ballot box from this country's first free election in 1994; the ANC triumphed over the National Party","South Africa"
5642,2009-03-03,Double Jeopardy!,"MOVIE MISSING LINKS","$800","American ________ In The Grass","Splendor"
5642,2009-03-03,Double Jeopardy!,"PROJECT RUNAWAY","$800","He ran away to England to do more printing before going back to Philadelphia to start his own business in 1726","(Ben) Franklin"
5642,2009-03-03,Double Jeopardy!,"THE SECRET LIFE OF ""B""s","$800","Systematic stress technique used on American prisoners during the Korean War","brainwashing"
5642,2009-03-03,Double Jeopardy!,"CAPITAL","$800","Rama I built Wat Phra Keo, the first temple in this capital, in 1785","Bangkok"
5642,2009-03-03,Double Jeopardy!,"LETTERS","$800","21 Bible books are this type of letter intended for many people","epistles"
5642,2009-03-03,Double Jeopardy!,"THE AFRICAN PAST","$1200","In 1884 14 nations (none of them African) met in Berlin to decide the status of this second-longest African river","the Congo"
5642,2009-03-03,Double Jeopardy!,"MOVIE MISSING LINKS","$1200","Who'll Stop The ____ Man","Rain"
5642,2009-03-03,Double Jeopardy!,"PROJECT RUNAWAY","$1200","This No. 1 airport car rental brand is named for a man who ran away & started the Yellow Cab company","Hertz"
5642,2009-03-03,Double Jeopardy!,"THE SECRET LIFE OF ""B""s","$1200","Used as fodder, mangold is a type of this purplish root vegetable","beets"
5642,2009-03-03,Double Jeopardy!,"CAPITAL","$2,000","In 2003, the 2 men seen <a href=""http://www.j-archive.com/media/2009-03-03_DJ_22.jpg"" target=""_blank"">here</a> vied to wield power from this state capital","Sacramento"
5642,2009-03-03,Double Jeopardy!,"LETTERS","$1200","He was upset to get a letter from Alfred Wallace about evolution theory, as he'd neglected to publish his own","Darwin"
5642,2009-03-03,Double Jeopardy!,"THE AFRICAN PAST","$1600","Musa, emperor of Mali in the 14th c., made a magnificent pilgrimage to Mecca & built the Great this at Timbuktu","a mosque"
5642,2009-03-03,Double Jeopardy!,"MOVIE MISSING LINKS","$1600","The Breakfast  ____ Dread","Club"
5642,2009-03-03,Double Jeopardy!,"PROJECT RUNAWAY","$1600","This runaway was coached by Pop Warner & excelled in baseball & football as well as the decathlon","Jim Thorpe"
